date,rec,daten,BAA,AAA,t3m,t10y,t5y,t1y,time,spr1,spr5,spr10,hyspr
1863-09-01,0,01sep1863,,,,,,,1863m9,,,,
1863-10-01,0,01oct1863,,,,,,,1863m10,,,,
1863-11-01,0,01nov1863,,,,,,,1863m11,,,,
1863-12-01,0,01dec1863,,,,,,,1863m12,,,,
1864-01-01,0,01jan1864,,,,,,,1864m1,,,,
1864-02-01,0,01feb1864,,,,,,,1864m2,,,,
1864-03-01,0,01mar1864,,,,,,,1864m3,,,,
1864-04-01,0,01apr1864,,,,,,,1864m4,,,,
1864-05-01,0,01may1864,,,,,,,1864m5,,,,
1864-06-01,0,01jun1864,,,,,,,1864m6,,,,
1864-07-01,0,01jul1864,,,,,,,1864m7,,,,
1864-08-01,0,01aug1864,,,,,,,1864m8,,,,
1864-09-01,0,01sep1864,,,,,,,1864m9,,,,
1864-10-01,0,01oct1864,,,,,,,1864m10,,,,
1864-11-01,0,01nov1864,,,,,,,1864m11,,,,
1864-12-01,0,01dec1864,,,,,,,1864m12,,,,
1865-01-01,0,01jan1865,,,,,,,1865m1,,,,
1865-02-01,0,01feb1865,,,,,,,1865m2,,,,
1865-03-01,0,01mar1865,,,,,,,1865m3,,,,
1865-04-01,0,01apr1865,,,,,,,1865m4,,,,
1865-05-01,1,01may1865,,,,,,,1865m5,,,,
1865-06-01,1,01jun1865,,,,,,,1865m6,,,,
1865-07-01,1,01jul1865,,,,,,,1865m7,,,,
1865-08-01,1,01aug1865,,,,,,,1865m8,,,,
1865-09-01,1,01sep1865,,,,,,,1865m9,,,,
1865-10-01,1,01oct1865,,,,,,,1865m10,,,,
1865-11-01,1,01nov1865,,,,,,,1865m11,,,,
1865-12-01,1,01dec1865,,,,,,,1865m12,,,,
1866-01-01,1,01jan1866,,,,,,,1866m1,,,,
1866-02-01,1,01feb1866,,,,,,,1866m2,,,,
1866-03-01,1,01mar1866,,,,,,,1866m3,,,,
1866-04-01,1,01apr1866,,,,,,,1866m4,,,,
1866-05-01,1,01may1866,,,,,,,1866m5,,,,
1866-06-01,1,01jun1866,,,,,,,1866m6,,,,
1866-07-01,1,01jul1866,,,,,,,1866m7,,,,
1866-08-01,1,01aug1866,,,,,,,1866m8,,,,
1866-09-01,1,01sep1866,,,,,,,1866m9,,,,
1866-10-01,1,01oct1866,,,,,,,1866m10,,,,
1866-11-01,1,01nov1866,,,,,,,1866m11,,,,
1866-12-01,1,01dec1866,,,,,,,1866m12,,,,
1867-01-01,1,01jan1867,,,,,,,1867m1,,,,
1867-02-01,1,01feb1867,,,,,,,1867m2,,,,
1867-03-01,1,01mar1867,,,,,,,1867m3,,,,
1867-04-01,1,01apr1867,,,,,,,1867m4,,,,
1867-05-01,1,01may1867,,,,,,,1867m5,,,,
1867-06-01,1,01jun1867,,,,,,,1867m6,,,,
1867-07-01,1,01jul1867,,,,,,,1867m7,,,,
1867-08-01,1,01aug1867,,,,,,,1867m8,,,,
1867-09-01,1,01sep1867,,,,,,,1867m9,,,,
1867-10-01,1,01oct1867,,,,,,,1867m10,,,,
1867-11-01,1,01nov1867,,,,,,,1867m11,,,,
